[tests:simple_scope] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_simple_scope() | start=2025-11-13 00:37:53.830 | end=2025-11-13 00:37:53.831 | elapsed=784.000us
[tests:nested:inner1] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_nested_scopes() | start=2025-11-13 00:37:53.832 | end=2025-11-13 00:37:53.832 | elapsed=22.000us
[tests:nested:inner2] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_nested_scopes() | start=2025-11-13 00:37:53.832 | end=2025-11-13 00:37:53.832 | elapsed=28.000us
[tests:nested:outer] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_nested_scopes() | start=2025-11-13 00:37:53.832 | end=2025-11-13 00:37:53.832 | elapsed=77.000us
[tests:conditional:on] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_conditional_timer() | start=2025-11-13 00:37:53.832 | end=2025-11-13 00:37:53.832 | elapsed=20.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=14.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=11.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=12.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.877 | end=2025-11-13 00:37:53.877 | elapsed=11.000us
